,budget,genres,popularity,production_companies,production_countries,revenue,runtime,spoken_languages,crew,cast,keywords,month,day,market_share_genres,people_vaccinated,people_fully_vaccinated,total_boosters,New_cases,New_deaths
165,28461828.68142445,0,11.948,2113,70,142309143.40712225,114.0,19,1032,859,1135,3,11,0.0893519760484082,0.0,0.0,0.0,0.0,0.0
166,1185909.5283926856,0,6.137,1515,70,56923657.3628489,86.0,19,608,419,282,4,1,0.0893519760484082,0.0,0.0,0.0,0.0,0.0
167,20397643.88835419,0,12.124,2113,70,601196493.8767277,96.0,19,844,314,308,5,26,0.0893519760484082,0.0,0.0,0.0,0.0,0.0
168,16602733.397497596,0,12.454,113,69,75898209.81713188,113.0,19,2089,1677,770,7,15,0.0893519760484082,0.0,0.0,0.0,0.0,0.0
169,80641847.93070261,0,6.498,8,70,41364524.35033687,91.0,19,928,728,104,9,10,0.0893519760484082,0.0,0.0,0.0,0.0,0.0
170,52180019.24927816,1,82.167,1193,70,3678207539.1919928,121.0,19,781,1419,41,5,25,0.4565826288381821,0.0,0.0,0.0,0.0,0.0
171,56923657.3628489,1,10.941,1518,70,42692743.02213668,122.0,27,2462,1882,369,6,24,0.4565826288381821,0.0,0.0,0.0,0.0,0.0
172,66410933.58999039,1,19.7,2107,69,879653956.9727817,125.0,19,1382,1861,1149,7,7,0.4565826288381821,0.0,0.0,0.0,0.0,0.0
173,28461828.68142445,1,19.624,575,70,69816173.1843696,92.0,19,1543,1804,1075,7,22,0.4565826288381821,0.0,0.0,0.0,0.0,0.0
174,9487276.227141485,1,4.652,2040,33,18974552.45428297,91.0,37,1227,1211,1061,12,17,0.4565826288381821,0.0,0.0,0.0,0.0,0.0
175,5692365.73628489,2,7.75,209,70,42692743.02213668,80.0,19,1882,261,379,2,9,0.0041568204061705,0.0,0.0,0.0,0.0,0.0
176,18974552.45428297,3,19.702,2107,70,181450917.52839276,93.0,19,2475,2269,824,4,19,0.0320141971379061,0.0,0.0,0.0,0.0,0.0
177,19045707.02598653,3,9.705,485,70,147351810.98009628,94.0,19,1531,1479,599,12,25,0.0320141971379061,0.0,0.0,0.0,0.0,0.0
178,104360038.49855632,6,13.59,2107,69,240739634.26371515,175.0,19,1919,561,816,6,15,0.1582722495964549,0.0,0.0,0.0,0.0,0.0
